#EXPORTTYPE:DATA ALL
#FILE:20250310PQM.ngb-ss5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:20250310PQM
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DTA
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:
#DATE/TIME:10.03.2025 16:49
#CORR. FILE:
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:
#OPERATOR:
#REMARK:DSC Al2O3
#SAMPLE:20250310PQM
#SAMPLE MASS /mg:16.83
#MATERIAL:
#REFERENCE:al2o3
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 3.4 ml, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:197.80
#PURGE 1 MFC:AIR(80/20),250.3 ml/min
#PURGE 2 MFC:NITROGEN,250.0 ml/min
#PROTECTIVE MFC:NITROGEN,250.0 ml/min
#DTA RANGE /¶ÃV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:20°„C/10.0(K/min)/800°„C
#SEGMENT:S1/1
#SEG. 1:20°„C/10.0(K/min)/800°„C

##Temp./°„C;Time/min;DTA/(uV/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
762.49400;74.41886;     -2.60312; 74.32768;80.00000;20.00000;1.00000
762.51400;74.42085;     -2.60309; 74.32769;80.00000;20.00000;1.00000
762.53400;74.42285;     -2.60307; 74.32771;80.00000;20.00000;1.00000
762.55400;74.42484;     -2.60305; 74.32772;80.00000;20.00000;1.00000
762.57400;74.42684;     -2.60303; 74.32773;80.00000;20.00000;1.00000
762.59400;74.42884;     -2.60302; 74.32774;80.00000;20.00000;1.00000
762.61400;74.43084;     -2.60302; 74.32775;80.00000;20.00000;1.00000
762.63400;74.43284;     -2.60302; 74.32775;80.00000;20.00000;1.00000
762.65400;74.43485;     -2.60303; 74.32776;80.00000;20.00000;1.00000
762.67400;74.43686;     -2.60305; 74.32776;80.00000;20.00000;1.00000
762.69400;74.43887;     -2.60306; 74.32776;80.00000;20.00000;1.00000
762.71400;74.44087;     -2.60306; 74.32776;80.00000;20.00000;1.00000
762.73400;74.44288;     -2.60306; 74.32777;80.00000;20.00000;1.00000
762.75400;74.44489;     -2.60306; 74.32777;80.00000;20.00000;1.00000
762.77400;74.44689;     -2.60305; 74.32778;80.00000;20.00000;1.00000
762.79400;74.44889;     -2.60303; 74.32778;80.00000;20.00000;1.00000
762.81400;74.45090;     -2.60300; 74.32779;80.00000;20.00000;1.00000
762.83400;74.45290;     -2.60298; 74.32779;80.00000;20.00000;1.00000
762.85400;74.45490;     -2.60296; 74.32779;80.00000;20.00000;1.00000
762.87400;74.45689;     -2.60296; 74.32780;80.00000;20.00000;1.00000
762.89400;74.45889;     -2.60299; 74.32780;80.00000;20.00000;1.00000
762.91400;74.46089;     -2.60305; 74.32781;80.00000;20.00000;1.00000
762.93400;74.46289;     -2.60314; 74.32781;80.00000;20.00000;1.00000
762.95400;74.46488;     -2.60325; 74.32782;80.00000;20.00000;1.00000
762.97400;74.46688;     -2.60334; 74.32782;80.00000;20.00000;1.00000
762.99400;74.46888;     -2.60341; 74.32782;80.00000;20.00000;1.00000
763.01400;74.47088;     -2.60342; 74.32782;80.00000;20.00000;1.00000
763.03400;74.47288;     -2.60339; 74.32782;80.00000;20.00000;1.00000
763.05400;74.47488;     -2.60332; 74.32781;80.00000;20.00000;1.00000
763.07400;74.47688;     -2.60325; 74.32781;80.00000;20.00000;1.00000
763.09400;74.47888;     -2.60321; 74.32780;80.00000;20.00000;1.00000
763.11400;74.48088;     -2.60320; 74.32779;80.00000;20.00000;1.00000
763.13400;74.48288;     -2.60325; 74.32779;80.00000;20.00000;1.00000
763.15400;74.48488;     -2.60333; 74.32778;80.00000;20.00000;1.00000
763.17400;74.48688;     -2.60343; 74.32777;80.00000;20.00000;1.00000
763.19400;74.48888;     -2.60352; 74.32777;80.00000;20.00000;1.00000
763.21400;74.49088;     -2.60359; 74.32777;80.00000;20.00000;1.00000
763.23400;74.49287;     -2.60363; 74.32778;80.00000;20.00000;1.00000
763.25400;74.49487;     -2.60364; 74.32778;80.00000;20.00000;1.00000
763.27400;74.49686;     -2.60364; 74.32779;80.00000;20.00000;1.00000
763.29400;74.49885;     -2.60362; 74.32781;80.00000;20.00000;1.00000
763.31400;74.50084;     -2.60359; 74.32783;80.00000;20.00000;1.00000
763.33400;74.50284;     -2.60356; 74.32785;80.00000;20.00000;1.00000
763.35400;74.50483;     -2.60351; 74.32787;80.00000;20.00000;1.00000
763.37400;74.50683;     -2.60347; 74.32787;80.00000;20.00000;1.00000
763.39400;74.50882;     -2.60341; 74.32785;80.00000;20.00000;1.00000
763.41400;74.51082;     -2.60335; 74.32781;80.00000;20.00000;1.00000
763.43400;74.51281;     -2.60330; 74.32770;80.00000;20.00000;1.00000
763.45400;74.51481;     -2.60324; 74.32747;80.00000;20.00000;1.00000
763.47400;74.51681;     -2.60318; 74.32705;80.00000;20.00000;1.00000
763.49400;74.51880;     -2.60313; 74.32639;80.00000;20.00000;1.00000
763.51400;74.52080;     -2.60309; 74.32541;80.00000;20.00000;1.00000
763.53400;74.52280;     -2.60306; 74.32416;80.00000;20.00000;1.00000
763.55400;74.52479;     -2.60304; 74.32280;80.00000;20.00000;1.00000
763.57400;74.52679;     -2.60303; 74.32148;80.00000;20.00000;1.00000
763.59400;74.52878;     -2.60302; 74.32038;80.00000;20.00000;1.00000
763.61400;74.53078;     -2.60301; 74.31966;80.00000;20.00000;1.00000
763.63400;74.53278;     -2.60301; 74.31937;80.00000;20.00000;1.00000
763.65400;74.53477;     -2.60301; 74.31938;80.00000;20.00000;1.00000
763.67400;74.53677;     -2.60301; 74.31957;80.00000;20.00000;1.00000
763.69400;74.53876;     -2.60301; 74.31982;80.00000;20.00000;1.00000
763.71400;74.54076;     -2.60302; 74.32000;80.00000;20.00000;1.00000
763.73400;74.54276;     -2.60303; 74.32005;80.00000;20.00000;1.00000
763.75400;74.54476;     -2.60305; 74.32003;80.00000;20.00000;1.00000
763.77400;74.54676;     -2.60309; 74.31998;80.00000;20.00000;1.00000
763.79400;74.54876;     -2.60315; 74.31995;80.00000;20.00000;1.00000
763.81400;74.55075;     -2.60323; 74.31999;80.00000;20.00000;1.00000
763.83400;74.55275;     -2.60335; 74.32010;80.00000;20.00000;1.00000
763.85400;74.55474;     -2.60347; 74.32021;80.00000;20.00000;1.00000
763.87400;74.55674;     -2.60358; 74.32026;80.00000;20.00000;1.00000
763.89400;74.55873;     -2.60366; 74.32015;80.00000;20.00000;1.00000
763.91400;74.56073;     -2.60371; 74.31983;80.00000;20.00000;1.00000
763.93400;74.56273;     -2.60370; 74.31927;80.00000;20.00000;1.00000
763.95400;74.56473;     -2.60366; 74.31852;80.00000;20.00000;1.00000
763.97400;74.56673;     -2.60360; 74.31763;80.00000;20.00000;1.00000
763.99400;74.56873;     -2.60355; 74.31665;80.00000;20.00000;1.00000
764.01400;74.57073;     -2.60350; 74.31565;80.00000;20.00000;1.00000
764.03400;74.57273;     -2.60348; 74.31466;80.00000;20.00000;1.00000
764.05400;74.57472;     -2.60347; 74.31374;80.00000;20.00000;1.00000
764.07400;74.57672;     -2.60348; 74.31295;80.00000;20.00000;1.00000
764.09400;74.57871;     -2.60350; 74.31233;80.00000;20.00000;1.00000
764.11400;74.58071;     -2.60352; 74.31193;80.00000;20.00000;1.00000
764.13400;74.58270;     -2.60354; 74.31175;80.00000;20.00000;1.00000
764.15400;74.58469;     -2.60356; 74.31174;80.00000;20.00000;1.00000
764.17400;74.58668;     -2.60357; 74.31184;80.00000;20.00000;1.00000
764.19400;74.58868;     -2.60357; 74.31197;80.00000;20.00000;1.00000
764.21400;74.59068;     -2.60355; 74.31208;80.00000;20.00000;1.00000
764.23400;74.59268;     -2.60352; 74.31213;80.00000;20.00000;1.00000
764.25400;74.59468;     -2.60349; 74.31214;80.00000;20.00000;1.00000
764.27400;74.59668;     -2.60347; 74.31212;80.00000;20.00000;1.00000
764.29400;74.59868;     -2.60346; 74.31209;80.00000;20.00000;1.00000
764.31400;74.60068;     -2.60348; 74.31206;80.00000;20.00000;1.00000
764.33400;74.60268;     -2.60353; 74.31206;80.00000;20.00000;1.00000
764.35400;74.60467;     -2.60361; 74.31206;80.00000;20.00000;1.00000
764.37400;74.60667;     -2.60368; 74.31207;80.00000;20.00000;1.00000
764.39400;74.60866;     -2.60375; 74.31208;80.00000;20.00000;1.00000
764.41400;74.61066;     -2.60380; 74.31209;80.00000;20.00000;1.00000
764.43400;74.61266;     -2.60382; 74.31209;80.00000;20.00000;1.00000
764.45400;74.61465;     -2.60382; 74.31209;80.00000;20.00000;1.00000
764.47400;74.61665;     -2.60381; 74.31208;80.00000;20.00000;1.00000
764.49400;74.61865;     -2.60380; 74.31207;80.00000;20.00000;1.00000
764.51400;74.62065;     -2.60378; 74.31206;80.00000;20.00000;1.00000
764.53400;74.62264;     -2.60378; 74.31206;80.00000;20.00000;1.00000
764.55400;74.62463;     -2.60378; 74.31205;80.00000;20.00000;1.00000
764.57400;74.62662;     -2.60378; 74.31205;80.00000;20.00000;1.00000
